"Rank","Player","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs.","ADP"
"298","Chris Johnson","ARI","RB82","8","176","243","209.5","33.5","",""
"299","Gerald Everett","LAR","TE41","8","185","253","231.4","24.2","270.0","-29.0"
"300","Aaron Jones","GB","RB83","8","177","285","247.5","29.5","253.0","-47.0"
"301","Josh McCown","NYJ","QB33","11","183","261","236.5","22.5","",""
"302","Anquan Boldin","FA","WR103","","178","273","227.0","33.8","299.0","-3.0"
"303","Ryan Succop","TEN","K19","8","178","262","220.0","42.0","334.0","+31.0"
"304","Aldrick Robinson","SF","WR104","11","187","271","240.3","36.2","",""
"305","Seth Roberts","OAK","WR105","10","180","276","246.7","24.8","329.0","+24.0"
"306","Carlos Henderson","DEN","WR106","5","187","266","224.3","34.3","238.0","-68.0"
"307","Tom Savage","HOU","QB34","7","183","260","245.1","23.8","",""
"308","Matt Jones","WAS","RB84","5","186","283","252.7","31.1","310.0","+2.0"
"309","Damien Williams","MIA","RB85","11","187","281","246.9","28.2","327.0","+18.0"
"310","Blair Walsh","SEA","K20","6","187","265","243.4","21.0","237.0","-73.0"
"311","De'Angelo Henderson","DEN","RB86","5","191","282","223.7","41.3","",""
"312","Jermaine Kearse","SEA","WR107","6","189","274","246.4","25.6","300.0","-12.0"
"313","Kenyan Drake","MIA","RB87","11","190","281","240.2","22.3","214.0","-99.0"
"314","Seth DeValve","CLE","TE42","9","190","269","240.8","29.4","",""
"315","Cody Kessler","CLE","QB35","9","191","261","229.6","19.8","333.0","+18.0"
"316","Phillip Dorsett","IND","WR108","11","192","280","239.5","27.6","317.0","+1.0"
"317","Chris Godwin","TB","WR109","11","193","273","234.9","29.3","240.0","-77.0"
"318","Donnel Pumphrey","PHI","RB88","10","192","280","248.9","27.9","251.0","-67.0"
"319","Jordan Leggett","NYJ","TE43","11","195","263","230.3","26.9","",""
"320","Jaelen Strong","HOU","WR110","7","193","280","247.4","25.8","",""
"321","Detroit","Lions","DST25","7","193","258","235.5","18.2","322.0","+1.0"
"322","Lance Dunbar","LAR","RB89","8","195","283","249.4","27.3","",""
"323","Brock Osweiler","CLE","QB36","9","195","256","222.3","22.7","332.0","+9.0"
"324","Tarik Cohen","CHI","RB90","9","196","272","233.3","31.0","",""
