"Marvin Jones","After seeing 107 targets in 2017 - Jones' incredible touchdown rate propped him all the way up to the WR5 in standard leagues. He caught a touchdown once every 11.9 targets - which is almost double the average rate for wide receivers - which stands at one every 22.8 targets. After scoring just four touchdowns the prior season in the same offense - you have to wonder just how sustainable his touchdown total is. On top of that - the Lions continue to hype up Kenny Golladay - who is another big-bodied wide receiver to take away some of those looks. Jones is a solid fantasy asset - but don't pay for last year's numbers. He averaged just 5.3 targets per game with Golladay in the lineup - but 9.8 targets per game when he was held out."
"Jay Ajayi","I know that by ranking Ajayi outside the top-24 running backs - he won't wind up on any of my teams - and that's something I'm okay with. Doug Pederson has shown us that he wants to use a committee approach in his offense - He topped 34 snaps just once during his time with the Eagles - with none of the final four games netting any more than 30 snaps. When you're playing that many snaps - your upside goes out the window and you'll be extremely touchdown dependent. With Darren Sproles returning and Corey Clement showing off late in the season - there's no reason to expect it to change. He's going to be frustrating to own."
"Lamar Miller","There were rumors that the Texans may cut Miller this offseason - but nothing ever came to fruition - as it's possible that D'Onta Foreman starts the season on the PUP list after his Achilles injury last year. If that's the case - Miller should move up even further on my list - as he's one of the few running backs who've consistently seen 250-plus touches over the last four years. If Deshaun Watson can be even half the quarterback he was last year - Miller is going to find himself going against a lot of light defensive fronts - which could be the reason he averaged 14.9 PPR points per game with Watson - compared to just 9.9 PPR points per game with Tom Savage."
"Dion Lewis","You should be expecting Lewis to walk right into the old DeMarco Murray role of the offense - as you don't go out and sign a running back in free agency for $20 million for no reason. It's possible that new offensive coordinator Matt LaFleur simply didn't want Derrick Henry to be the guy of the offense - as he's not a great pass-catcher. If LaFleur installs an offense similar to the one Sean McVay used in L.A. - then Lewis could turn out to be a steal at his current cost."
"Deshaun Watson","Just how unrepeatable was Watson's 2017 season? Well - since 2000 - just four other quarterbacks have thrown a touchdown on more than 7.9 percent of their passes. We're talking about the entire careers of Peyton Manning - Tom Brady - Aaron Rodgers - Drew Brees - Ben Roethlisberger - and Philip Rivers. Watson's rate was 9.3 percent in 2017. Looking at all quarterbacks in 2017 - only he and Carson Wentz threw a touchdown on more than 6.7 percent of their attempts - which should give you all you need to know. In fact - you should expect his touchdown percentage to be cut in half (and it'd still be good). He's still among the top quartebacks because of his rushing ability - but don't pay for last year's production - which was still just six games worth."
"Rashaad Penny","The Seahawks have been implying that they intend to run the ball over and over again. The offensive line is lousy as usual - but the offense should put up enough points that if Seattle truly has a workhorse back - he could end up in the RB1 discussion come end of the year. There is plenty of reason to think Penny will have that role from the get-go so be prepared for him to slide up draft boards."
"Cam Newton","After the failed experiment of trying to dial back Newton's rushing attempts in 2016 - it was good to see them unleash him again in 2017. If you take away Newton's ability to run - he wouldn't be a quarterback in this league very long. Fortunately - it seems the Panthers figured that out - making Newton an elite fantasy option once again - rushing for a career-high 754 yards. The upgraded weaponry around him doesn't hurt - either."
"Greg Olsen","While I do believe that Olsen is on the down-slope of his career - he didn't actually fall off a cliff. Prior to getting hurt in 2017 - he'd seen at least 104 targets in each season dating back to 2012. This is where I remind you that there were just six tight ends who topped 95 targets in 2017. You want to chase targets at the most volatile position in fantasy - so even though he may not have top-three upside anymore - he's still a top-eight tight end."
"Corey Davis","Davis is someone I compared to Brandon Marshall during last year's draft process - and after watching him throughout the 2017 season - my expectations haven't changed. He didn't develop any chemistry with Marcus Mariota until playoff time - where he caught nine passes for 98 yards and two touchdowns in their two games. He's still yet to prove it," so you don't want to go all-in - but the potential is there for a top-15 season."
"Mark Ingram","He's suspended for the first four games of the season - sure - but getting him for 12 games will be more valuable than someone like Derrick Henry - who will be touchdown-reliant in all 16 games. It's clear that the Saints don't want to shift more of the early-down work to Alvin Kamara - as Sean Payton said they don't want to change his workload much - even during the first four weeks while Ingram is out. Ingram is also due for some positive regression in the touchdown department - as he caught 58 passes last year without a single touchdown. The league average among running backs is one every 25.6 receptions."
"Derrick Henry","After sharing a backfield with DeMarco Murray the last two years - Henry seemed to have the backfield all to himself once they released Murray this offseason. Instead - they upgraded Murray when they snagged Dion Lewis - who is one of the best pass-blockers in the game and one they paid $20 million to over four years. It's clear that they want Henry to remain in the role he was last year - which netted him 11.7 touches per game (ranked just 42nd among RBs). While I suspect he'll get a small bump - he's not likely to get into the 15-16-touch range - which is what's often required to finish as a top-15 running back. He's going to be touchdown-dependent - something that isn't ideal for someone who costs a third-round pick."
"Evan Engram","Everything that could have went Engram's way last year in terms of targets - did. Both Odell Beckham Jr. and Brandon Marshall were place on I.R. early in the season - while Sterling Shepard was in and out of the lineup with injuries. Not only are Beckham Jr. and Shepard back to full health - but the Giants just spent the No. 2 pick on Saquon Barkley - who is essentially another receiver. Engram is still likely to be a TE1 - but I'm not touching him where he's being drafted."
"Pierre Garcon","After seemingly walking into 140 targets with the 49ers when he signed in free agency - Garcon all of a sudden has plenty of competition for targets. From Marquise Goodwin - to George Kittle - to Jerick McKinnon - and now recently-drafted Dante Pettis. He totaled 67 targets over the first eight games last year which would have put him on pace for 134 - though you shouldn't be expecting more than 110 this season - and possibly less."
"Drew Brees","Since 2008 - Brees' touchdown rate had been 5.0 percent or higher - which was the reason he threw for at least 32 touchdowns in each of those seasons. In 2017 - however - that number dipped to 4.3 percent. Was it Brees slipping? Well - when you look at his record-setting completion percentage (72.0 percent) - highest yards per attempt since 2011 (8.1) - and lowest interception rate in his entire career (1.5 percent) - my answer would be an emphatic no." The touchdowns will come back - as will the pass attempts - and Brees will likely be one of the steals in fantasy drafts."
"Ronald Jones II","Not only have I been bullish on rookie running backs - but I'm bullish on the Bucs offense as a whole. When you have the firepower of Mike Evans - Desean Jackson - Chris Godwin - O.J. Howard - and Cameron Brate in front of you - it's not likely that a defense will ever make it their priority to stop the running back. Those who are concerned about Peyton Barber shouldn't be - as the Bucs would've just snagged one of the free agent running backs available to pair with him. Instead - they used a high second-round pick on the running back who has a similar style to Jamaal Charles. Playing in what could be a top-five scoring offense is never a bad thing."
"Carson Wentz","To give you an idea as to how unrepeatable Wentz's 2017 season was from a touchdown standpoint - let's compare him to Aaron Rodgers. Wentz's touchdown rate was 7.5 percent last year - a number that Rodgers has hit just once in his career. Remember - we are talking about the guy who I'd consider the best of all-time. If we dialed back his touchdown rate to 6.0 percent - which is still elite - he would've thrown seven less touchdowns - which would drop him from the QB5 to QB12. Coming off an ACL tear may limit his mobility at the start of the season - which further impacts his fantasy performance. I'd avoid him as a top-five quarterback off the board."
"Royce Freeman","Another rookie running back? Yep. While there are some who are worried about Devontae Booker - you shouldn't be one of them. He legitimately played behind the running back they just cut (C.J. Anderson) - so what makes you think he'd start in front of a guy they just spent a high third-round pick on? Freeman may not be elite at anything - but he's really good at everything. He's a no-nonsense runner who knows how to follow his blocks - similar to Jordan Howard. In an offense that likely takes a step forward - Freeman should finish as a top-24 running back in his first season."
"Sammy Watkins","It wouldn't shock me to see Watkins finish as the best Chiefs wide receiver - as I believe he's the most talented one. The issue is that he's learning his third offense in three years - which can cripple a wide receiver in year-one. Because of that - Tyreek Hill is the preferred option in 2018. Still - the Chiefs didn't pay Watkins $50 million to see 60-80 targets - so I'd expect him to be a WR3 more often than not. With Pat Mahomes under center and a bad defense - the recipe is there for increased pass attempts."
"Delanie Walker","There's not enough love for the tight end who has now finished top-12 in each of the last five years - including two top-five finishes. While many are expecting Corey Davis to have his breakout season - Walker is the safer choice to rely on for production - even if he doesn't offer extreme upside. Any time you can get 800-plus yards out of a tight end - he's worth consideration as a top-five player at the position. He's kind of like the Demaryius Thomas of tight ends - as he might be boring - but you aren't going to lose your fantasy league because of him."
