"Player","Team","RECs","Rec-YDs","Rec-TDs","Rush-ATTs","Rush-YDs","Rush-TDs","FumLost","FPTS"
"Isaac Whitney","OAK","4.4","87.6","0.5","0.0","0.0","0.0","0.2","15.6"
"Trevor Davis","GB","5.4","85.7","0.4","0.6","2.2","0.0","0.5","15.5"
"Josh Huff","NO","6.4","70.2","0.3","0.0","0.0","0.0","0.0","15.4"
"Lucky Whitehead","NYJ","5.9","67.4","0.4","0.4","2.9","0.0","0.0","15.3"
"Jordan Leslie","DEN","5.2","70.9","0.5","0.0","0.0","0.0","0.0","15.2"
"Jake Lampman","TB","5.7","72.1","0.4","0.0","0.0","0.0","0.0","15.1"
"Matt Slater","NE","4.9","63.4","0.6","0.1","-0.1","0.0","0.0","14.9"
"Seantavius Jones","IND","5.5","67.5","0.4","0.0","0.0","0.0","0.0","14.7"
"Charone Peake","NYJ","6.7","65.4","0.3","0.0","0.1","0.0","0.1","14.7"
"DeVier Posey","BAL","5.4","68.0","0.4","0.0","0.0","0.0","0.0","14.5"
"Rashad Greene","JAC","5.9","66.4","0.3","0.0","0.0","0.0","0.0","14.4"
"Carlos Henderson","DEN","5.5","70.0","0.4","0.0","0.0","0.0","0.1","14.4"
"Braxton Berrios","NE","5.0","70.0","0.4","0.0","0.0","0.0","0.0","14.4"
"Jace Billingsley","DET","5.5","70.9","0.3","0.0","0.0","0.0","0.0","14.3"
"Alex Erickson","CIN","6.1","77.5","0.2","0.1","0.4","0.0","0.4","14.3"
"Byron Marshall","WAS","5.5","67.1","0.4","0.0","0.0","0.0","0.0","14.3"
"Marlon Brown","CHI","5.5","68.3","0.3","0.0","0.0","0.0","0.0","14.1"
"Austin Carr","NO","5.0","67.0","0.4","0.0","0.0","0.0","0.0","14.1"
"Krishawn Hogan","IND","5.3","63.8","0.4","0.0","0.0","0.0","0.0","14.1"
"Justin Hunter","PIT","3.9","52.1","0.8","0.0","0.4","0.0","0.1","14.0"
"Brandon Tate","NO","4.0","61.8","0.7","0.1","0.2","0.0","0.1","14.0"
"Nick Williams","TEN","6.0","69.0","0.2","0.0","0.0","0.0","0.1","13.9"
"Marquez Valdes-Scantling","GB","5.0","58.0","0.5","0.0","0.0","0.0","0.0","13.8"
"Daniel Braverman","KC","5.0","57.5","0.5","0.0","0.0","0.0","0.0","13.7"
"Geremy Davis","LAC","4.7","64.2","0.4","0.0","0.0","0.0","0.0","13.7"
"Mike Thomas","LAR","4.9","87.6","0.1","0.0","0.0","0.0","0.2","13.7"
"Jaleel Scott","BAL","6.0","66.5","0.2","0.0","0.0","0.0","0.0","13.6"
"Richie James","SF","5.0","69.0","0.3","0.0","0.0","0.0","0.1","13.5"
"De'Anthony Thomas","KC","5.3","47.4","0.5","0.1","1.8","0.0","0.0","13.2"
"Justin Watson","TB","5.0","64.0","0.3","0.0","0.0","0.0","0.1","13.0"
"Trey Quinn","WAS","5.0","63.0","0.3","0.0","0.0","0.0","0.1","12.9"
"Max McCaffrey","SF","5.8","58.9","0.2","0.0","0.0","0.0","0.1","12.9"
"Marquis Bundy","NYG","5.0","63.2","0.3","0.0","0.0","0.0","0.0","12.8"
"Maurice Harris","WAS","4.8","63.0","0.3","0.0","0.0","0.0","0.1","12.7"
"Jaydon Mickens","JAC","4.0","50.6","0.8","0.0","0.0","0.0","0.7","12.7"
"Tommylee Lewis","NO","5.1","58.2","0.4","0.7","2.7","0.0","0.6","12.6"
"Andy Jones","DET","4.8","62.9","0.3","0.0","0.0","0.0","0.1","12.6"
"DeAndrew White","DEN","4.4","64.7","0.3","0.0","0.0","0.0","0.1","12.5"
"Tanner McEvoy","SEA","4.8","64.8","0.4","0.0","0.0","0.0","0.5","12.4"
"Chad Hansen","NYJ","3.4","70.4","0.3","0.0","0.0","0.0","0.1","12.1"
"Bradley Marquez","DET","4.9","59.0","0.2","0.0","0.0","0.0","0.0","12.0"
"Russell Gage","ATL","4.0","62.0","0.3","0.0","0.0","0.0","0.0","12.0"
"Demarcus Ayers","CHI","4.6","57.5","0.3","0.0","0.0","0.0","0.0","12.0"
"Markus Wheaton","PHI","4.2","58.5","0.4","0.0","0.0","0.0","0.1","11.9"
"Tanner Gentry","CHI","4.8","56.2","0.2","0.0","0.0","0.0","0.1","11.7"
"Victor Bolden Jr.","SF","4.1","52.5","0.4","0.0","0.0","0.0","0.0","11.7"
"Freddie Martino","TB","4.5","64.9","0.1","0.0","0.2","0.0","0.1","11.6"
"Marcus Johnson","SEA","5.1","54.6","0.2","0.0","0.0","0.0","0.2","11.3"
"Marcell Ateman","OAK","4.0","56.0","0.3","0.0","0.0","0.0","0.1","11.2"
"Chris Thompson","HOU","4.1","58.0","0.2","0.0","0.1","0.0","0.1","11.1"
"Marvin Hall","ATL","3.8","56.9","0.3","0.0","0.0","0.0","0.0","11.0"
"Shane Wynn","JAC","3.8","53.2","0.3","0.0","0.0","0.0","0.1","10.9"
"Charles Johnson","NYJ","5.0","61.0","0.0","0.0","0.0","0.0","0.1","10.9"
"Quan Bray","HOU","5.2","53.5","0.1","0.0","0.0","0.0","0.1","10.8"
"Jehu Chesson","KC","4.6","53.4","0.1","0.0","0.0","0.0","0.0","10.7"
"K.J. Brent","IND","4.0","50.9","0.3","0.0","0.0","0.0","0.0","10.7"
"Griff Whalen","OAK","5.2","46.5","0.1","0.0","0.0","0.0","0.0","10.5"
"Javon Wims","CHI","4.0","53.0","0.2","0.0","0.0","0.0","0.1","10.3"
"Stacy Coley","MIN","3.9","46.0","0.3","0.0","0.0","0.0","0.0","10.3"
"Kaelin Clay","BUF","4.7","60.9","0.1","0.2","1.5","0.0","0.6","10.1"
"Noah Brown","DAL","4.4","44.1","0.2","0.0","0.0","0.0","0.1","9.9"
"Shelton Gibson","PHI","4.3","50.5","0.1","0.0","0.0","0.0","0.1","9.9"
"Austin Proehl","BUF","4.0","45.0","0.2","0.0","0.0","0.0","0.0","9.7"
"Ray-Ray McCloud","BUF","4.0","45.0","0.2","0.0","0.0","0.0","0.0","9.7"
"Aaron Burbridge","SF","4.0","52.0","0.2","0.0","0.0","0.0","0.3","9.6"
"JoJo Natson","LAR","4.0","45.0","0.2","0.0","0.0","0.0","0.1","9.5"
"Dwayne Harris","OAK","3.0","41.6","0.5","0.0","0.0","0.0","0.4","9.2"
"Jeff Janis","CLE","3.3","38.4","0.1","0.0","0.0","0.0","0.1","7.6"
"Bryce Treggs","PHI","2.4","33.7","0.2","0.3","1.8","0.0","0.0","7.0"
"Kalif Raymond","NYG","3.2","37.4","0.2","0.1","0.7","0.0","0.5","7.0"
"Vince Mayle","BAL","2.3","30.4","0.1","0.1","0.4","0.0","0.1","5.8"
"Andre Roberts","NYJ","3.0","33.0","0.1","0.0","0.0","0.0","0.7","5.5"
"Seth DeValve","CLE","0.0","233.1","1.3","0.0","0.0","0.0","0.2","0.0"
"Cyril Grayson","SEA","0.0","154.0","1.0","0.0","0.0","0.0","0.3","0.0"
"D.J. Foster","ARI","0.0","206.7","1.0","0.0","0.0","0.0","0.6","0.0"
"Rashard Davis","PHI","0.0","125.9","0.8","0.0","0.0","0.0","0.2","0.0"
"Caleb Scott","SEA","0.0","177.6","1.2","0.0","0.0","0.0","0.3","0.0"
"Lamar Jordan","ATL","0.0","125.4","0.9","0.0","0.0","0.0","0.3","0.0"
"Trent Sherfield","ARI","0.0","196.0","1.3","0.0","0.0","0.0","0.3","0.0"
"Cody Hollister","NE","0.0","146.6","1.0","0.0","0.0","0.0","0.3","0.0"
"Trey Griffey","PIT","0.0","154.7","1.0","0.0","0.0","0.0","0.3","0.0"
"Colby Pearson","ATL","0.0","237.9","1.6","0.0","0.0","0.0","0.3","0.0"
"Fred Brown","LAR","0.0","170.6","1.1","0.0","0.0","0.0","0.2","0.0"
"Marcus Tucker","PIT","0.0","132.2","0.9","0.0","0.0","0.0","0.2","0.0"
"Cayleb Jones","MIN","0.0","195.2","1.3","0.0","0.0","0.0","0.3","0.0"
"KD Cannon","DAL","0.0","134.9","0.9","0.0","0.0","0.0","0.2","0.0"
"Keon Hatcher","OAK","0.0","203.0","1.3","0.0","0.0","0.0","0.3","0.0"
"Jalen Tolliver","ARI","0.0","150.5","1.0","0.0","0.0","0.0","0.3","0.0"
